2016-08-11,Jacob Whitesides,Pop,The Social,Orlando,8:00 PM,15.00 
2016-08-12,Hey Mercedes,Alternative,The Social,Orlando,8:00 PM,14.00 
2016-08-13,Arms,Alternative,The Social,Orlando,8:00 PM,10.00 
2016-08-17,Butch Walker,Rock,The Social,Orlando,7:00 PM,25.00 
2016-08-20,Big 10-4,Rock,The Social,Orlando,8:00 PM,20.00 
2016-08-22,Local H,Rock,The Social,Orlando,7:00 PM,15.00 
2016-08-25,Lil Yachty,Rap,The Social,Orlando,7:00 PM,19.50 
2016-08-27,Red Not Chili Peppers (Tribute to RHCP),Alternative,The Social,Orlando,8:00 PM,10.00 
2016-09-08,Anthony Green,Alternative,The Social,Orlando,7:30 PM,17.50 
2016-09-13,Twin Peaks,Alternative,The Social,Orlando,8:00 PM,13.00 
2016-09-14,Marian Hill,Alternative,The Social,Orlando,7:00 PM,20.00 
2016-09-15,Ballyhoo!,Alternative,The Social,Orlando,8:00 PM,15.00 
2016-09-15,Zach Deputy,Rock,The Social,Orlando,8:00 PM,15.00 
2016-09-15,Sun-Dried Vibes,Reggae,The Social,Orlando,8:00 PM,15.00 
2016-09-15,Bumpin' Uglies,Reggae,The Social,Orlando,8:00 PM,15.00 
2016-10-05,Chrome Sparks,Electronic,The Social,Orlando,9:00 PM,13.00 
2016-10-07,Junior Boys,Electronic,The Social,Orlando,9:00 PM,15.00 
2016-10-12,The Dear Hunter,Alternative,The Social,Orlando,7:00 PM,20.00 
2016-10-14,MC Chris,Rap,The Social,Orlando,8:00 PM,15.00 
2016-10-17,Dance Gavin Dance,Rock,The Social,Orlando,6:30 PM,22.00 
2016-10-20,EDEN,Alternative,The Social,Orlando,7:00 PM,15.00 
2016-10-22,Beartooth,Metal,The Beacham,Orlando,5:00 PM,20.00 
2016-11-01,Nothing But Thieves,Alternative,The Social,Orlando,7:00 PM,15.00 
2016-12-01,For Today,Metal,The Social,Orlando,6:30 PM,20.00 
2016-12-02,Sage Francis,Rap,The Social,Orlando,9:00 PM,15.00 
2016-08-19,Acceptance,Alternative,The Beacham,Orlando,6:30 PM,20.00 
2016-09-01,Broods,Alternative,The Beacham,Orlando,8:00 PM,30.00 
2016-09-06,Baroness,Alternative,The Beacham,Orlando,7:00 PM,25.00 
2016-09-11,Watsky,Rap,The Beacham,Orlando,5:00 PM,35.00 
